rank	name	win_pct	recent_win_pct	total_games	wins	losses	form_1	form_2	form_3	form_4	form_5	form_6	form_7	form_8	form_9	form_10
38	HOLLOW	52	57.1	3800	2000	1800	L	L	L	L	W	L	W	W	W	L
39	NIGHTHAWK	52	55.6	931	487	444	L	W	W	W	L	W	L	L	L	W
40	FENRIR	52	55	974	511	460	L	W	L	W	L	W	L	W	W	L
41	RAPTOR	52	53.8	1700	898	833	W	W	W	W	W	L	W	W	W	L
42	GODFATHER	52	53.6	2700	1400	1300	L	L	L	L	L	L	L	W	L	L
43	SHERIFF	52	52.5	1000	557	520	W	W	L	L	W	L	W	L	L	L
44	WOLVERINE	52	52.2	548	283	265	L	L	W	W	W	L	W	L	W	W
45	MARINE	51	64.5	1300	690	648	W	W	W	L	W	L	W	W	W	L
46	KOBRA	51	58.9	2100	1100	1000	L	L	W	W	W	L	L	W	L	L
47	CYPHER	51	57.9	2100	1000	1000	W	W	L	L	L	L	L	W	W	L
48	OMEN	51	54.5	743	382	359	L	W	L	W	W	W	W	W	L	W
49	BROOK	51	54.3	843	426	417	L	W	W	L	W	W	W	L	W	L
50	FLAME	51	54.1	235	120	115	L	L	W	L	L	L	W	W	L	L
51	GRAVITY	51	53.1	1200	649	628	L	W	L	W	L	W	W	W	L	W
52	HAWK	51	51.1	726	370	355	L	L	L	W	L	L	W	L	W	L
53	ANONYMOUS	51	51	364	187	177	W	W	W	L	L	L	L	L	L	L
54	ALIEN	51	50.8	489	247	242	W	W	L	L	L	W	W	L	W	W
55	DECOY	51	50.8	261	132	129	L	W	L	L	L	W	W	L	L	L
56	INSANITY	51	50.8	1000	542	522	W	W	L	W	L	L	W	W	L	L
57	FRENZY	51	50.4	430	218	212	L	L	W	L	L	W	L	W	W	L
58	MYTH	51	48.7	1900	991	959	L	W	W	W	L	W	L	L	W	W
59	STRIKE	51	44.5	546	280	266	W	W	L	W	L	W	W	W	L	W
60	CLUTCH	51	43.4	37	19	18	L	W	L	L	W	L	W	W	W	L
61	SURGEON	50	63.8	1900	1000	987	L	L	L	W	L	W	W	W	W	W
62	ARCHITECT	50	61.3	2800	1400	1400	W	L	W	L	L	W	W	L	W	L
63	KARMA	50	60.9	3700	1800	1800	L	L	L	L	W	L	W	L	L	L
64	JUGGERNAUT	50	58.7	1100	554	552	L	W	L	L	L	L	L	L	L	W
65	OUTLAW	50	58.1	3000	1500	1500	W	W	W	L	W	W	L	L	W	W
66	SILVER	50	58	1400	718	713	W	L	W	W	L	L	W	L	W	W
67	RAIN	50	57.5	1200	650	642	W	W	L	W	L	L	L	W	L	L
68	MALICE	50	57.3	1000	502	505	L	L	W	L	W	L	L	L	W	L
69	KNIGHT	50	57.1	2400	1200	1200	W	W	W	L	L	L	L	W	W	L
70	CHIEF	50	56.8	2400	1200	1100	W	L	W	L	L	W	W	L	L	L
71	AVATAR	50	56.3	1800	908	909	W	W	L	W	W	W	W	L	L	L
72	PROTOTYPE	50	53.3	1700	892	891	L	L	W	W	W	L	W	W	W	L
73	ULTIMATE	50	52.1	408	203	205	L	W	L	W	W	L	W	W	W	W
74	ARCHER	50	51.1	1900	975	974	L	W	L	L	L	L	L	W	L	W
75	PIRATE	50	49.4	625	311	314	W	L	W	L	W	W	W	L	L	W
76	RAMZ	49	66.3	3200	1500	1600	L	L	L	W	W	W	W	L	W	L
77	VEX	49	66.2	3100	1500	1600	L	W	L	W	W	L	W	W	L	W
78	OREZ	49	65.6	3900	1900	2000	W	L	L	L	W	L	W	L	L	L
79	LAZARUS	49	65.6	2200	1000	1100	L	W	W	W	L	W	W	L	L	L
80	CARNAGE	49	64.3	4200	2000	2100	L	W	L	L	W	L	L	W	L	L
81	MIST	49	63.5	3500	1700	1800	W	W	L	L	W	L	W	W	L	L
82	DIMES	49	63.1	4600	2200	2300	W	W	L	L	W	W	L	L	L	L
83	SKYFOX	49	62.9	1500	757	772	L	W	W	L	L	W	L	L	L	L
84	GRANDMASTER	49	62.4	3300	1600	1600	W	L	L	L	L	W	L	W	L	L
85	UNDERRATED	49	62.4	3400	1700	1700	W	L	W	L	W	W	W	L	L	W
86	SPARKZ	49	62.3	5200	2500	2600	L	L	L	L	W	L	W	W	W	L
87	FIVESTAR	49	60.4	2900	1400	1500	L	L	L	L	W	L	L	W	L	L
88	JD	49	60	1600	822	860	L	W	L	W	L	L	L	W	L	L
89	AIRFORCE	49	59.9	3600	1700	1800	W	W	L	W	L	W	W	W	W	W
90	SPECTER	49	59.5	3100	1500	1500	W	W	W	W	W	W	W	W	W	W
91	QUAZAR	49	59	1000	510	516	L	W	W	L	W	W	W	L	W	L
92	PRIMAL	49	55.4	1300	686	703	W	W	W	W	L	W	L	W	W	W
93	SUPERIOR	49	54.7	311	151	160	L	W	L	L	L	L	L	L	L	L
94	BLAZER	49	51.8	653	319	334	W	L	W	L	W	W	W	L	L	W
95	GENERAL	49	51.3	418	203	215	L	L	W	L	L	L	W	L	L	W
96	SIGNAL	49	50.9	1000	503	534	L	L	L	L	L	L	L	L	L	L
97	ADMIRAL	49	50.6	694	340	353	L	W	W	L	L	W	L	L	W	L
98	EQUALIZER	49	50.6	768	378	390	L	W	W	L	L	L	W	L	L	W
99	PULSE	49	49.8	508	247	261	L	L	W	L	W	W	L	L	W	L
100	INVINCIBLE	49	47.4	926	455	471	L	L	L	L	L	L	W	L	W	L
101	STING	49	46.5	1300	655	689	W	L	W	L	L	L	W	L	L	W
102	ATOMIC	48	63.2	661	317	342	L	L	L	W	W	L	W	L	W	W
103	PUMA	48	62.4	1100	528	557	W	L	W	W	L	L	L	W	L	L
104	HERMES	48	62	2700	1300	1400	L	W	W	W	W	L	W	L	L	L
105	SCORCH	48	59.6	4500	2200	2300	L	W	L	L	L	L	L	L	L	L
106	SPOOKY	48	58	3800	1800	2000	L	L	L	L	L	L	L	W	W	W
107	BRAZEN	48	54.2	2300	1100	1200	L	L	L	W	W	W	L	L	W	W
108	MACHINE	48	54	1200	586	627	W	L	W	W	W	L	L	L	W	W
109	DOMAIN	48	53.9	1500	731	779	L	L	W	L	W	W	L	W	L	L
110	RIDER	48	52.8	1500	744	813	L	W	L	L	L	L	L	W	L	L
111	BLADE	48	52.6	1300	628	682	W	W	L	W	W	W	W	L	W	W
112	SABRE	48	52	1000	490	523	W	L	W	W	W	L	L	W	W	W
113	UNBREAKABLE	48	50.7	900	435	465	L	W	W	L	W	L	L	L	W	L
114	PROWLER	48	50.7	124	60	64	L	L	W	L	L	L	L	L	L	L
115	THOR	48	50.5	253	121	132	W	W	W	W	W	L	W	L	W	L
116	FURY	48	49.5	578	278	299	W	L	W	L	L	W	L	L	L	L
117	INFINITE	48	49.5	562	269	293	L	L	L	L	L	W	W	W	L	L
118	MARKSMAN	48	48.6	174	83	91	L	L	W	W	L	L	W	L	W	L
119	KJMR	47	66.5	4700	2200	2400	W	L	W	W	W	L	L	L	L	W
120	SAINT JR	47	58.8	4800	2200	2500	L	L	W	L	W	W	L	L	L	L
121	ENIGMA	47	58.1	394	184	208	L	W	W	L	W	L	L	L	W	L
122	HARLEM	47	56.1	1900	912	1000	L	L	L	L	L	W	W	L	L	L
123	ARACHNE	47	54.8	1800	883	1000	W	L	W	L	L	L	L	L	W	L
124	UNFORGIVEN	47	53	816	387	429	W	W	W	L	L	L	W	L	L	W
125	ORDER	47	51.6	309	144	165	W	L	W	W	L	L	W	W	W	W
126	DAGGER	47	51.5	1000	474	530	W	L	W	W	W	L	W	W	W	L
127	GODLIKE	47	51	1300	619	698	L	W	L	L	L	W	W	W	L	L
128	TERMINATOR	47	50.8	565	266	299	W	W	L	W	L	L	L	W	L	L
129	REND	47	46.1	502	234	268	W	L	L	W	L	L	L	L	L	L
130	HUNCHO	46	57.6	2700	1200	1400	L	L	L	L	L	W	L	L	L	W
131	PATIENCE	46	57.2	1200	557	658	W	W	W	L	L	W	W	W	W	L
132	JOLLY	46	51.7	512	234	272	L	L	L	L	L	W	W	L	L	W
133	ESSENCE	46	50.9	1000	472	553	L	L	L	L	L	L	L	L	W	W
134	TRANQUILITY	46	50.1	1100	520	604	L	L	L	L	L	L	W	W	L	L
135	TITANIUM	46	49.4	854	389	465	W	W	L	L	L	L	W	W	W	L
136	BLIZZARD	46	45.5	666	307	358	L	L	L	L	W	W	L	W	W	W
137	RASCAL	45	67.6	1200	551	658	W	L	L	W	L	L	L	W	W	W
138	THA KID	45	64.9	4300	1900	2300	W	L	L	W	L	L	W	W	L	W
139	CASCADE	45	57.9	739	333	402	W	L	L	L	L	W	L	W	W	L
140	TRICKSTER	45	52.7	1100	509	613	W	W	L	W	W	W	W	W	L	L
141	PHARAOH	45	51.9	693	313	380	W	W	L	W	L	L	L	W	W	W
142	BOMBARDIER	45	50.5	745	333	411	L	W	W	W	W	L	W	L	L	L
143	CLAW	45	49.5	957	435	522	L	L	L	L	W	W	L	L	L	W
144	KOBOLD	44	60.5	1700	785	976	L	W	L	L	W	L	L	W	L	W
145	ANUBIS	44	52.4	203	90	113	W	W	L	W	W	W	W	L	W	W
146	MASTER	44	50.3	310	137	173	L	L	W	L	L	L	W	L	W	L
147	ANDROID	44	50.1	260	114	145	W	L	W	L	L	L	L	L	W	W
148	EL IDOLO	43	59.9	232	100	129	W	W	L	W	W	L	W	L	W	L
149	DOUBLEFOUR	43	59.1	3000	1300	1700	L	L	L	W	L	W	L	W	W	L
150	LEGACY	43	48.5	744	322	422	W	L	W	W	L	W	L	W	L	W
151	AZURE	43	48	308	133	175	L	L	W	W	W	W	W	L	L	L
152	CHARM	42	51.4	882	372	510	W	L	W	W	L	W	W	W	W	W
153	TRINITY	42	50.4	561	236	325	L	W	L	L	L	W	L	L	W	L
154	PUNISHER	42	48.5	747	311	435	L	L	L	L	L	L	L	L	L	W
155	SCOUT	42	44.8	12	5	7	L	W	W	L	L	W	L	W	L	W
156	ABYSS	41	53.1	1600	668	960	L	W	W	L	L	L	L	W	W	W
157	BLOODHOUND	40	47.8	410	164	246	L	W	L	W	L	W	L	W	L	L
158	VANDAL	40	47.4	676	270	406	L	L	W	L	W	W	L	L	L	W
159	GUARD	36	46	376	135	241	W	L	W	W	L	W	W	L	W	W
160	ANOMALY	35	49.1	94	33	60	L	W	W	W	L	W	L	W	W	L
161	GIANT	33	45.1	193	63	130	W	L	W	W	W	W	W	L	L	L
162	UTOPIA	33	41.9	83	27	56	L	L	W	W	L	L	L	L	W	L
163	QUEEN	31	46.6	349	107	242	L	W	L	L	W	L	L	L	L	L
164	PRINCE	27	53	135	37	96	L	L	L	L	L	L	L	W	L	W
165	IMMORTAL	27	50.4	172	46	126	L	L	W	W	L	L	L	L	W	L
166	VELOCITY	19	43.4	70	13	57	L	L	L	L	W	L	L	W	L	L
